,text,labels
142, miles down only  to go Thats ok u on the radio alwas helps,2
143, FIL  with cool people like me,2
144,Good Morning Work and then its ESPNs Sunday night Baseball hopefully it wont get rained out,2
145,Why kiss the feet of the people who kick you when you can be anything that you want to  morning everyone Hope you have the best day ever,2
146, congratulations  you guys finish a month early than we do booo,2
147,workin a long day today hopefully i can make some good tips,2
148, Thanks for the support,2
149,had a good day driving up mountains visiting katie eating chips  fudge and stocking up on lovely smelling soaps,2
150,Nyappy mothers day to your moms,2
151,Libertine um glad you enjoyed it,2
152, sounds like you all had a great night  im glad it was successful,2
153, Thanks for sharing that,2
154, you should say mlia instead of fml  i hope you find it soon,2
155,Garden going well almost all the corn and peas are up no onions or beets up yet though,2
156,Ahhh im sqeaky clean and fresh Even though im wearing dirty clothes  I love Two and a Half Men  its amazing,2
157, WE Quite Like Worthing its a relaxing place with nice coffee shops and fresh air and not too many Oiks,2
158,today was a lovely day I had fun with  and  this evening,2
159, it was amazing,2
160, I feel for you  I hope its a smooth flight Be safe Mucho amor from Boston,2
161, sweet dreams,2
162, haha thanks  its for history and its on how the invention of television has influence america lol,2
163, Like your pics Lucky Girl again,2
164,Feeling loved  My Mom got me a Nikon Cool Pix for my birthday,2
165,And the Sun is shinningat last,2
166,amichael Hey thanks for another great day Im going to sleep now Ill chat with you tomorrow  Sweet dreams,2
167, httptwitpiccomvvr  cool you and your mother have awesome hair styles Wish her a happy mothers day,2
168,happy mothers day mothers,2
169,just came back from karaoke  eating dinner with emily it was sooooo much fun,2
170, Discrimination is not a bad thing Ive learned to say no My children would say I mastered that years ago,2
171,Just got back from working out Im feeling pretty good work at ,2
172, So Why should that matter I bet you would be GREAT at it I do Its what you love right Why not go for it,2
173,DH is just about finished making his giant Trio candy bar Thank the heavens His work mates are in for a treat tomorrow,2
174,I love when ryans a housewife Makes me smile,2
175,  great you can buy me lunch when i get my  pay cut next month,2
176,finally gone to the beach yeaaaah,2
177,ranjan Did I ever mention what a nice and awesome dude you are,2
178, Hello Gorgeous GIRL Nice new pic  HOw are you today,2
179,Ok that  duet was hysterical LOL,2
180, either way you always tend to make my followfriday list sweetie  you do rock that much,2
181,watched th episode of numbrs loved how they did a throwback to the first episode using the sprinkler theory,2
182,Ichigo She tried to carry on aswell bless I suppose maybe thats why kids shouldnt be in it,2
183,booziest weekend in a long time good fun though,2
184, Ok then have a good day,2
185,says Happy Mothers Day to all Moms out there  httpplurkcompstkr,2
186,michele thanks for thatam now following themlove good causes,2
187,philosophy final today thank you  its  days now,2
188, lol i know but it was just so funny ahaha,2
189, lol hi emmy latin would help me study for the aptitude tests to get into grad school  thats why i wanna take it,2
190,kap But I think its cute  Do this every night okay,2
191,Is happySkool just let out Today was my last day Yippee RIP Jackson Tyler Morris Always Loved And Never Forgotten,2
192, nice one ,2
193,Gotta get creative with these mothers day gifts Im gonna win them over with my love,2
194, aah well have a few friends over there Just wondering if alls great and weathers been good,2
195,xo they were so pretty and took like an hour to do  CAN I DO URSSSSS,2
196, Already got my ticket thanks for making sure though,2
197,Thanks to all my new followers,2
198,busy working on a new kit and a couple interviews doneYea The weekend Pray for my Uncle still young and had a massive stroke,2
199,Good Morning  Court  Crossfit  Bible Study  Someone very specials house  httptinyurlcomcjs,2
200, Have a great time in London,2
201,  Thanks for the greeting,2
202, httptwitpiccomwb  Such a pretty baby,2
203,jungle book  is sooooo cute i have nothing to eat or drink,2
204, ah ok  thank youuuuuu,2
205,no phone call yet  minutes until I pluck up the courage I WISH MY PHONE WOULD RING,2
206, SherriEShepherd gave the link for  httpwwwbrentozarcomtwitter He gives Twitter tips Hope this helps,2
207, I loved him and he was in a mini,2
208,  Yeah Im okay been icing and ace bandage and sitting on my  on twitter LOL Thanks,2
209, youre so gorgeous,2
210,I guess the relaxing dinner and a movie is out for tonightI was looking forward to that after my day at work,2
211, rofl uh huh,2
212, This was funny I have ,2
213, good luck How exciting,2
214,Working up to my vacation to Thailand Getting more excited every day,2
215,Finally a chance to show genuine love not dependent selfish love I hope I can do it My heart goes out to you and Im sorry  ur pain,2
216, the exact one i was thinking of  the bestttt,2
217,Why does googledocs do folders instead of labels like gmail I kind of like labels,2
218,pacquiao fight was fun at home wif fam and melissa sat    today was a mission to ikea srsly  different freeways to ge to burbank,2
219, How much longer is the NKOTB Block Party Love it I need to go to bed so just wondering what time its overLOLthanks,2
220,Cultural tour  by loiusas family kangaroo sightseeing in cemetary Lovely,2
221,Oh and yippee for LynZ Way who gets to celebrate Mothers Day for the first time as a mother,2
222,am chillaxin after a busy BankHoliday Hope everbody had a gd wkend Holiday in  days  ,2
223,Havin a much better day today Finished the last Twilight book yesterday Classes start next week      Get at me yall,2
224, NEW motorcycle and you POPPED a cable already wowyou ride HARD,2
225, Thanks Welcome back,2
226, Thanks Amy  That video is so awesome  Did you see TMH  Hes amazing in that too Bouncy Bouncy Bouncy,2
227, LMAOHa No I just simply wanted to go to NY,2
228, hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that,2
229,Jon made one of the greatest dinners ever roast pork tenderloin on a bed of wild rice on a bed of mixed greens  yummy sauce No wine,2
230,Shower Class More class Taking care of my ladyfriend Writing like theres no tomorrow,2
231,Rockstar photographer shoot went great tonight A little different than the usual stuff  very nice,2
232, great pics You should try to start selling your race photos to runners,2
233,Goodmorning twitter oh my gosh i woke up soooo nice lol  oh hai thar twitterverse Happy mothersday everybody  especially mine,2
234,dulay i swear it took me  hours to get from bel air to alabang  but yes i LOVED reminiscing about our HK trip with you  ,2
235,The World is just amazing,2
236, awww hes too cutewish i couldve gone,2
237,just had a great talk with grace about how awesome God is and how he worksthat somehow started with how remote controls work,2
238,HAPPY MOTHERS DAY to my Mom and every Mom everywhere  Off for a stroll at the Beaches laterhopefully,2
239,KittyKat hello new follower  haha how are ya,2
240, haha best thing about office birthdays hey,2
241,You better come here by the time I count to  or else     BAM,2
242, U know  kids do what we DO  not what we SAY  well dont we all really  ,2
243,  Hi Thx for following  I teach some Chinese lessons on youtube pls feel free to have a look wwwyoutubecomChineseLearn,2
244,  Yes you should go see Star Trek  Its sooooo much fun,2
245, very relaxing thank you Hope you get to put your feet up tomorrow and enjoy the day,2
246, yessir that is  right,2
247,Writing my Music Lit final paper on Mozarts Eine kleine nashtmusik Mom is giving me a handand Im actually having a GREAT time,2
248, aww thanx andy,2
249,Some goodies bagged at the car boot including some very cute cross stitch birds for my craft room The man selling was a sweetie,2
250,has just finished ironing his clothes for Church Gonna walk the dog now then grab a showershave and be off  jottonia looks good too,2
251, COOOOOOOOOL DOOOOOOOOOWN Patience Is Virtue,2
252,The usual Two family parties today Happy Birthday Lily  httptwitpiccomw,2
253,GOODNIGHT MAGIC AND PRETTY WORLD,2
254,Good morning  ready to start this week,2
255, Ive read good things bout it Just not feelin it tonight Proly finish it tomorrow after Star Trek,2
256,So glad Im finally done with finals,2
257, I miss u guys too  I prob wont b bk til august sumtime But if I come bk anytime b then ill  sure let u kno,2
258,Just got confirmed that its pizzatime with some ex coworkers on fridaylooking forward to it,2
259,cant wait to november for Jobros concert  In examination,2
260,i jus love doin night shiftswill be done in an hour,2
261, You know your updates are really amusing  How was the prop auctionHow much did that baseship bed go for,2
262,Loves the fact that theres only  days of school left,2
263, Oh no I hope its not bad,2
264, awesomeam headin there that nite after my grad dinner  c u then boi hehe,2
265, Aww congrats to the family  Send me piccies in the email,2
266,Uber Bored ATM after Out of the Blue will have shower then watch house or numbrs vid then CSI  CSI NY  Bones Double    YAY,2
267,okay okay sleep for realz now Goodnight  waves to followers,2
268,buckley Good for you mate sadly I couldnt get pissed tonight  driving bad times,2
269, very very cute  and fun to watch,2
270,Great weekend even though my site is not moved Plenty other things to do and learn Keeping the faith and looking to the future,2
271, thats what doting husbands are for LOL  I hope that once my braces go on I can eat normally again,2
272,Good Morning Twits  Lets makes today x better than the one before Start runnin,2
273, Thanks man  That sorted it I only ever remember ,2
274,CraigG Hope your enjoying the moneyits looking real good to me right now,2
275,This is my favourite shirt because its true   grumpy    a cute  b huggable  c life of the party  d httptinyurlcomqeax,2
276,and thanks   fr yr congratulatory gweetin,2
277,Star trek was good times,2
278,Invisible car helps to boost recycling Honest   httptwurlnlfdgmyo,2
279,HA Totally posting an update at amIts lightning outside pretty,2
280, Do a tour in the Philippines sometime  A lot of fans here would really love that,2
281, nice clutch,2
282,Happy Mothers Day to all the mommies,2
283,Enjoying Mothers Day,2
284,Wishing all the mommies out there a very happy day,2
285, ahaha its stuck in my head thanxx,2
286,Happy Star Wars Day   May the th be with you read httptinyurlcomaxsujx for more ,2
287,I hope everyone had a great weekend I will be here on and off today as I have  important meetings today,2
288, httptwitpiccomqpzx  i love you guys  youre the best,2
289,babe woo im getting mine on mondaycant wait  x,2
290, awww shes laavly  I had to come in  but Ive got a stunning wee tan l  yourself,2
291, well if i use all my tweets will be the push to make me go to the shop and by the time im back it will be over hopefully,2
292,is getting ready for bed Happy Mothers Day to all the mothers out there,2
293, blinks fast its better now  Lol thanks ,2
294, cont a bastardized version of French Its fun believe me,2
295, alas I am moving   like where im moving too but the actual moving ugh wish I could go too,2
296,today Jon Doe plays at the Moho ia m excited  its gonna be funny but before i have to carry all the equipment and do the backline,2
297, congradts on ur show  Even tho i wasnt there lol,2
298,damjust finished watching Prison Break the final breakomg i dont think ive cried so hard for a showFinally understand the finale,2
299, good luck Finally your long time will of panvel tweetup finally coming true,2
300,Heading off to Hollywood Studios today  Manta and Kraken were both awesome yesterday feeling like doing a few more rides,2
301, Welcome,2
302, Ha Thanks Bryan And dont remind me about the state budget issues  Actually Steve only has  staffers in  offices,2
303, Thanks none close to me,2
304,watered the tomato plants pepper plants and lettuce feeling all homely off out with Freddie for a funpacked day,2
305, I sorry,2
306, if so the TMobile G is the Hummer H I wish I had the battery life of an iPhone,2
307,nite nite twitts i wish u all a happy sunday i already have my major gift my my kidsmy bron agressiva n  other gift on d way  tyg,2
308,Omg Its  am and Kim Possible is on Disney Channel right now I am glued to the screen,2
309, at first i thought bar life meant you were partying nonstop to catch up for the last  yearslol shoulda known better,2
310, someone came in when I was sleeping off my national passtime and turned me human,2
311, I see you didnt shave your head But I LOVE the cut  Im glad you didnt shave it Your hairs too pretty,2
312, I am twittering LIKE A BOSS Thanks Savvv,2
313, my sleep pattern is screwed i need to try and stay up  midnight so i can get some decent sleep coz i havent slept,2
314,may the fourth be with you happy star wars day,2
315,Always thinking about to look for a good place to appericiate everyone who supports me on every site I joined,2
316,cant believe I just drove all the way back to schoolwhatever HAPPY MOTHERS DAY Mommy Precious Candis and Granny,2
317,i hope it doesnt rain tonight tomorrow my fam comes to visit swimming pool and carne asada  if it rains the pool is going to be dirty,2
318, Thats me on a good day,2
319, I created my account just to get a chance to chat with you  I ADMIRE YOU youre amazing you inspire me to write  ,2
320,Think Ill go enjoy the suns rays againI LOVE being off work,2
321, hahaha I was busy now I see what I replied to you Yes that is true,2
322, thank you cici  right back at ya,2
323, Thank you  x,2
324, I think we have it pretty much figured out  added a box in the Helsinki group where you can see the tweets,2
325, httptwitpiccomvdc  Lexus has the Twitpic Happy mothers day to you Lexus  I hopw its a nice one for you,2
326,uts bass love,2
327,omg JONAS is my new fave show  one guess as to why hahahha,2
328, Yeah it is Thanks,2
329, Congrats on the knottie man,2
330, there coming this year   wiL said it himself  but yes now would be good,2
331, awww  Ill let you off  but youd better be there for my next th XD,2
332,i think i just good stood up,2
333,hook up with Rian van Staden on Twitter He is a much better cook and may have some more concrete suggestions,2
334, Nako Umuulan pa naman  Anyway enjoy the bike rides,2
335,has just discovered a great site,2
336, Oohh Yaay like it       Love ya,2
337,Lhoste Thanks you so much for following me on Twitter I hope you find it as exciting as I do Looking forward to your tweets,2
338,Happy Mothers Day to all the mommies out there be you woman or man as long as youre momma to someone this is your day,2
339, Hi I have uploaded  completely new Chinese Lessons on wwwyoutubecomChineseLearn Please feel free to watch and enjoy,2
340, That was nice I Just ordered my mom her gift from me and my sister   Something different and unexpected,2
341,Dont follow your dreams chase them Richard Dumb who I think is very smart,2
342, Up is out  I didnt get the memo   It looks amazing,2
343, yeah twitter is a lot of fun babe especially when youve got ppl to talk to lol  that sounds Goooooood lol,2
344,tonight was hilariouss  i loveeee everyone that was theree,2
345, thank YOU You guys did awesome things for my blog tonight  so grateful,2
346,TWEE haha thanks to you thats my new word for the week ,2
347,Happy Moms day to your moms ,2
348,Guy Would luv to hear music too but im out of batteries  the tv plays besides but i think this is some kind of vampire movie,2
349,Just wanted to say positivity is doin me good Change it up Wont regret it Forsure,2
350, I had mint icecream for dessert tonight Love the stuff,2
351,watching snl with my ucsd girls and laughing about twitterblackberry jokes  thought id tweet that,2
352, i think both s related to size depend on structures and system hard to relay in tweet but worth blogginggood questions this am,2
353,Is having awesome fruits and vegetable juice at the opening of Lams noodles at   httptinyurlcomrc,2
354,Packing up and leaving inlaws house heading home sweet home Had a nice weekend and back to work in a few hours,2
355,HAPPY MOMMAs DAY ALL HONOR YOUR MOMs  sign up for maternalhealth  heres for all mothers and luvin kids out there  httpbitlyBpekk,2
356,y do i only have  people following me  people follow me please x,2
357,Aw Toy Story  is coming out NEXT year,2
358,goooodnight everyone  and Happy Mothers Day to all the mothers out there,2
359,My whole immediate will be in the same city until some point tomorrow afternoon This is monumental,2
360,Good days with good friends make me not regret living,2
361,OMG I would sooooo make dis show number one n da ratings,2
362, Yesmet Jon last yr at an interesting Questionning Agile Agile  session  Dont see him on this yrs schedule,2
363, aaawww  no worries fresh start to work on growing it out again,2
364,Just spent the last two hours playing LD with babe  Had HELLA fun I love him ,2
365, nice to have you back,2
366, Enjoy the coffee We miss you petite puce adica Puricel in franceza,2
367, my little felted thing looks like an incestuous by product of two of your lovelies,2
368, thanks  lyxxx,2
369,Happy Mothers Day,2
370, Happy May Day and Star Wars Day,2
371,happy mothers day,2
372, Happy birthday,2
373,thanks my real name is nadia,2
374,msning no school  shouldnt there be more bank holidays x,2
375,CCs video for Long Gone premiers today on yahoo dont miss it httpnewmusicyahoocomvideospremieres AWESOME video and version,2
376, I know i know  hugs,2
377,watching W with jas i love my brother hes my best friend,2
378, As opposed to twitter where all we can do is talk to people  SL is fun I already have way too many ways to distract myself,2
379, Yeah Thanks Ill be back in soon to see what ya got,2
380,Another HD  my lecturer was gob smacked by how good our presentation was,2
381,  awesome All deserved Im sure Miss the Crabs games,2
382, When balancing a chair on my chin in the sixth form common room got nothing but sneers I hung those balls up for good,2
383, LittleRen is lovely lovely and so niceee,2
384,Where are all you MotivatedDeterminedwannabe sexy successful young professionals I might really have to join a BNI if there is no,2
385, lmao yeaa iight n u shuld put tha cb flick up w  on ur head  juss a joke,2
386, im sure jont wont mind sharing,2
387, boooo I bet it was a nice wallet too,2
388, thanks  scared of dentists looks like I am going to have to get over it and go,2
389,OMJ The rd episode of Jonas is too great They are so funny I wish I was the Pizza Girll Lol ,2
390, it makes perfect sense I guess i am very down to earth Thanks for your reply,2
391,The sun is shining brightly and the day has just begun Whats in store Wandering around les calanques maybe Vin definitely,2
392, AMs good for us GMTish people I think  Looking forward to it and hope youre batteries  laptop will be recharged soon,2
393, I can remember those Evidence Based Management lecturesdefinitely the best of EBM,2
394, Fab eh  Feel free to come along for some preep  chat and drinks over at Luigis  httpwwwluigisorguk tomorrow,2
395, I LLLOOOVVVEEE ICARLY,2
396,  Wow I didnt realise you were Hami lol Thanks for all the comments on my blog dude,2
397,Glad to see the sun out in Dublin after a great week in London Back to work,2
398,had an awsome salad I recommend getting the Spicey buffalo chicken salad,2
399,Luck they are SO cute,2
400, yes super lakas ng ulan buti nalang i have a red bandana body ko lang ang wet look  hahah,2
401,Watched GossiPGirl Dans so funny haha,2
402,  hope your day gets better soon,2
403, Thanks for the shoutout,2
404,aww jon ryan bob and greta in one picture how adorable  and it brightens my morning ty jon walker,2
405, maybe one day I can be on your favorite producers list  lol,2
406, Id love to,2
407,what a beautiful morning nice to be out,2
408,ray Bright EyesContentment,2
409, httptwitpiccomvuuy  thats the most colorful thing ive seen all daywow,2
410, I just started watching  Rock too borrowed seasons  and  from my dad   so good,2
411, i like OGBERRY,2
412, You are totally welcome to come hang out on my wiki  Do it do it,2
413, Hey im a fan from New Zealand Loving the show even tho we are soooo behind in the episodes haha Keep up the good work,2
414, Nice You should submit that to failblogorg,2
415,has two tickets to Amadou and Miriam for Tue June  that I cant use   each to anyone who wants em Thats face value Should be good,2
416,is going to watch the two davids yey,2
417, hell yeah Belgian beer is the bomb  p,2
418, hahahaha im listening to my iTunes library a bit of Sonia Dada atm  ITs good,2
419,  great pichave to upload my pix tomoIve no laptop tonight,2
420, You win  SIGH Rakeem,2
421,live long and prosper,2
422,  Bless you as well sweetie and i hope you have a wonderful weekend,2
423,ShoesShoesShoesYayYayYaylolIWouldPostATwitPicButIdntKnoHow,2
424,Im SO thinking about skippin out to NY in the morning   but all of my plans were for tonight  well    most of them anyway,2
425,Enjoying a beautiful day off by hanging around the house Pam is making a cake but she wont give me any,2
426,Happy Mothers day to all mums,2
427, Heavens not good  I can empathise Fingers crossed it doesnt come to anything and you can sleep easy Wishing for the best,2
428,Going to the Star Trek premier tomorrow night uber stoked I dont care if Im a nerd Star Trek is amazecore,2
429, Thanks G My actual birthday is on Tuesday and I will be ,2
430,happy star wars dayyyy D and hbd to uncle LEE,2
431,its so nice I LUV KELLYshes such an amazing singer  LUV HER,2
432, more followers follow me and Ill love you pouts Please,2
433, hope ya sleepin well  guys still here,2
434, Thank you  Hows your daughter And by the way how did you get  followers O,2
435, WOWHow sweet,2
436, Just saw you on TV for the Best Job in the World Good luck,2
437,Happy Mothers Day  ,2
438, hey i loved ACS but i had to see it online is not here yet   cant wait to buy it you look amazing there,2
439,sooo glad im home  floridia was fun back in ATL time to sleepthen back up to work constant grind,2
440, The episode was AMAZINGI cried when I saw the home videos they were soooooo cute,2
441,  ROFLMAO for the funny web portal  D,2
442,  that would mean me babe but  it my name  is SUPER FREAKIN COOL I give myself a pass HA,2
443,Its make a wish,2
444,She doesnt believe spending many many thousands on a perfect wedding makes a happy coupleA happy couple makes a perfect wedding,2
445, Thanks,2
446,and were off  to OT  exciting game like always,2
447,watching Bones with Naty Have made her a fan Mission convert Naty Successnow onto Mission convert Meagan,2
448, her son is  and captured it outsideTHANK GOD I HAVE A LITTLE GIRL,2
449, and Im really glad you were able to watch the game,2
450,I love being able to run my tongue along my teeth,2
451,facebook quizzes are one cure of boredom haha my teethmouth hurts,2
452, Awe THX so much Neither of need b sick on Friday  Do u have any prayer requests,2
453, Bye  Have a great time being whisked away,2
454, lol Ahhh well its a good song,2
455, Thanks I just found a article that say i cannot join you because i am in the UK though,2
456, cheers for the aptism link,2
457,  Coola VERY productive day I just got a spot as an extra in a feature film that is filming tomorrow  AWESOME week all around,2
458,Im likable after all HAHAHAHAHAHAHA Still over the moon,2
459,I wish I knew how to play an instrument Lessons for Menace and Missy Moo for sure Piano Cello Bass Whatever they want,2
460,Janeway OOC Goodnight,2
461, I thought it was pretty good Im not a die hard Trekkie either,2
462, TY very much for FF,2
463, Enjoy the ride,2
464,Happy Mothers Day to all the mothers out there,2
465, heeeey good luck for unair sweet,2
466,just come in from the garden It is very warm out there but beautiful Didnt do much revision though,2
467,Twitster ohhhh I love Morse have every episode on video  sometimes gaze lovingly at them,2
468,lifes good,2
469, oh ok Well good for youcan I get some weather updates instead  jk,2
470,Rescued two adorable pit mix pups today  LC and Brody  Looking to adopt  Email me for more info and pics,2
471, Happy Mothers Day,2
472,drinking some really nice coffee got to go to the dentist at am this morning,2
473,thanks for the raspberryLaced Vanilla Cake,2
474,Divine take my advice lookin through the phone cost me my relationship,2
475,Weekends are Greatif you dont have to work them,2
476, good morning misfit passes you Tylenol,2
